sno,category,english,hindi,tamil,malayalam,isl_gloss,meaning,has_local_video
273,Food & Drinks,Soda,सोडा,சோடா,സോഡ,SODA,Soft drink,yes
274,Food & Drinks,Rice,चावल,அரிசி,അരി,RICE,Grain food,yes
275,Food & Drinks,Bread,रोटी,ரொட்டி,അപ്പം,BREAD,Baked food,yes
276,Food & Drinks,Chapati,चपाती,சப்பாத்தி,ചപ്പാത്തി,CHAPATI,Flatbread,yes
277,Food & Drinks,Idli,इडली,இட்லி,ഇഡ്ഡലി,IDLI,South Indian food,no
278,Food & Drinks,Dosa,डोसा,தோசை,ദോശ,DOSA,South Indian food,yes
279,Food & Drinks,Pizza,पिज़्ज़ा,பீஸ்ஸா,പിസ്സ,PIZZA,Italian food,yes
280,Food & Drinks,Burger,बर्गर,பர்கர்,ബർഗർ,BURGER,Fast food,yes
281,Food & Drinks,Sandwich,सैंडविच,சாண்ட்விச்,സാൻഡ്വിച്ച്,SANDWICH,Filled bread,yes
282,Food & Drinks,Chicken,मुर्गा,கோழி,കോഴി,CHICKEN,Poultry,yes
283,Food & Drinks,Fish,मछली,மீன்,മത്സ്യം,FISH,Seafood,yes
284,Food & Drinks,Egg,अंडा,முட்டை,മുട്ട,EGG,Protein,yes
285,Food & Drinks,Fruit,फल,பழம்,ഫലം,FRUIT,Produce,yes
286,Food & Drinks,Apple,सेब,ஆப்பிள்,ആപ്പിൾ,APPLE,Fruit,yes
287,Food & Drinks,Banana,केला,வாழைப்பழம்,വാഴപ്പഴം,BANANA,Fruit,yes
288,Food & Drinks,Mango,आम,மாம்பழம்,മാമ്പഴം,MANGO,Fruit,yes
289,Food & Drinks,Grapes,अंगूर,திராட்சை,മുന്തിരി,GRAPES,Fruit,yes
290,Food & Drinks,Vegetable,सब्ज़ी,காய்கறி,പച്ചക്കറി,VEGETABLE,Produce,yes
291,Food & Drinks,Potato,आलू,உருளைக்கிழங்கு,ഉരുളക്കിഴങ്ങ്,POTATO,Vegetable,yes
292,Food & Drinks,Onion,प्याज,வெங்காயம்,ഉള്ളി,ONION,Vegetable,yes
293,Food & Drinks,Tomato,टमाटर,தக்காளி,തക്കാളി,TOMATO,Vegetable,yes
294,Food & Drinks,Breakfast,नाश्ता,காலை உணவு,പ്രാതൽ,BREAKFAST,Morning meal,yes
295,Food & Drinks,Lunch,दिन का खाना,மதிய உணவு,ഉച്ചഭക്ഷണം,LUNCH,Midday meal,yes
296,Food & Drinks,Dinner,रात का खाना,இரவு உணவு,അത്താഴം,DINNER,Evening meal,yes
297,Food & Drinks,Snack,नाश्ता,சிற்றுண்டி,ലഘുഭക്ഷണം,SNACK,Light food,no
298,Food & Drinks,Restaurant,रेस्टोरेंट,உணவகம்,ഭക്ഷണശാല,RESTAURANT,Eatery,yes
299,Food & Drinks,Menu,मेनू,மெனு,മെനു,MENU,Food list,yes
300,Food & Drinks,Order,आदेश,உத்தரவு,ഓർഡർ,ORDER,Request food,yes
301,Food & Drinks,Bill,बिल,மசோதா,ബിൽ,BILL,Check / invoice,yes
302,Food & Drinks,Salt,नमक,உப்பு,ഉപ്പ്,SALT,Seasoning,yes
303,Food & Drinks,Sugar,चीनी,சர்க்கரை,പഞ്ചസാര,SUGAR,Sweetener,yes
304,Food & Drinks,Pepper,काली मिर्च,மிளகு,കുരുമുളക്,PEPPER,Spice,yes
305,Food & Drinks,Spice,मसाला,மசாலா,സുഗന്ധവ്യഞ്ജനങ്ങൾ,SPICE,Flavoring,yes
306,Food & Drinks,Soup,शोरबा,சூப்,സൂപ്പ്,SOUP,Liquid dish,yes
307,Food & Drinks,Salad,सलाद,சாலட்,സാലഡ്,SALAD,Mixed greens,yes
308,Food & Drinks,Dessert,मिठाई,இனிப்பு,മധുരപലഹാരം,DESSERT,Sweet course,yes
309,Food & Drinks,Ice Cream,आइसक्रीम,ஐஸ்கிரீம்,ഐസ്ക്രീം,ICE-CREAM,Frozen dessert,yes
310,Food & Drinks,Cake,केक,கேக்,കേക്ക്,CAKE,Baked dessert,yes
311,Food & Drinks,Cookie,कुकी,குக்கீ,കുക്കി,COOKIE,Small baked sweet,yes
312,Food & Drinks,Chocolate,चॉकलेट,சாக்லேட்,ചോക്കലേറ്റ്,CHOCOLATE,Cocoa sweet,yes
313,Food & Drinks,Vegetarian,शाकाहारी,சைவம்,വെജിറ്റേറിയൻ,VEGETARIAN,No meat diet,yes
314,Food & Drinks,Vegan,शाकाहारी,சைவ உணவு உண்பவர்,സസ്യാഹാരം,VEGAN,Plant-only diet,yes
315,Food & Drinks,Delicious,स्वादिष्ट,சுவையான,രുചികരമായ,DELICIOUS,Tasty,yes
316,Food & Drinks,Sweet,मिठाई,இனிப்பு,മധുരം,SWEET,Sugar taste,yes
317,Food & Drinks,Sour,खट्टा,புளிப்பு,പുളിച്ച,SOUR,Acid taste,yes
318,Food & Drinks,Bitter,कड़वा,கசப்பான,കയ്പേറിയ,BITTER,Sharp taste,yes
319,Food & Drinks,Spicy,मसालेदार,காரமான,മസാലകൾ,SPICY,Hot taste,yes
320,Food & Drinks,Fresh,ताजा,புதியது,പുതിയത്,FRESH,Not stale,yes
321,Food & Drinks,Frozen,जमा हुआ,உறைந்த,മരവിച്ചു,FROZEN,Very cold,no
322,Food & Drinks,Food,खाना,உணவு,ഭക്ഷണം,FOOD,Nourishment,yes
323,Travel & Transport,Travel,यात्रा,பயணம்,യാത്ര,TRAVEL,Journey,yes
324,Travel & Transport,Airport,एयरपोर्ट,விமான நிலையம்,വിമാനത്താവളം,AIRPORT,Flight hub,yes
325,Travel & Transport,Flight,उड़ान,விமானம்,വിമാനം,FLIGHT,Air travel,yes
326,Travel & Transport,Plane,विमान,விமானம்,വിമാനം,PLANE,Aircraft,yes
327,Travel & Transport,Train,रेलगाड़ी,ரயில்,തീവണ്ടി,TRAIN,Rail transport,yes
328,Travel & Transport,Bus,बस,பேருந்து,ബസ്,BUS,Road transport,yes
329,Travel & Transport,Taxi,टैक्सी,டாக்ஸி,ടാക്സി,TAXI,Hired car,yes
330,Travel & Transport,Car,कार,கார்,കാർ,CAR,Automobile,yes
331,Travel & Transport,Map,नक्शा,வரைபடம்,ഭൂപടം,MAP,Navigation chart,yes
332,Travel & Transport,Hotel,होटल,ஹோட்டல்,ഹോട്ടൽ,HOTEL,Lodging,yes
333,Travel & Transport,Passport,पासपोर्ट,கடவுச்சீட்டு,പാസ്പോർട്ട്,PASSPORT,Travel ID,yes
334,Travel & Transport,Ticket,टिकट,டிக்கெட்,ടിക്കറ്റ്,TICKET,Travel pass,yes
335,Travel & Transport,Luggage,सामान,சாமான்கள்,ലഗേജ്,LUGGAGE,Bags,yes
336,Travel & Transport,Station,स्टेशन,நிலையம்,സ്റ്റേഷൻ,STATION,Transit stop,yes
337,Travel & Transport,Road,सड़क,சாலை,റോഡ്,ROAD,Street route,yes
338,Travel & Transport,Traffic,ट्रैफ़िक,போக்குவரத்து,ഗതാഗതം,TRAFFIC,Vehicle flow,yes
339,Health & Medical,Hospital,अस्पताल,மருத்துவமனை,ആശുപത്രി,HOSPITAL,Medical facility,yes
340,Health & Medical,Medicine,दवा,மருந்து,മരുന്ന്,MEDICINE,Medication,yes
341,Health & Medical,Pharmacy,फार्मेसी,மருந்தகம்,ഫാർമസി,PHARMACY,Drug store,yes
342,Health & Medical,Fever,बुखार,காய்ச்சல்,പനി,FEVER,High temperature,yes
343,Health & Medical,Headache,सिरदर्द,தலைவலி,തലവേദന,HEADACHE,Head pain,yes
344,Health & Medical,Allergy,एलर्जी,ஒவ்வாமை,അലർജി,ALLERGY,Immune reaction,yes
345,Health & Medical,Emergency,आपातकाल,அவசரநிலை,അടിയന്തരാവസ്ഥ,EMERGENCY,Urgent crisis,yes
346,Health & Medical,Ambulance,एम्बुलेंस,ஆம்புலன்ஸ்,ആംബുലൻസ്,AMBULANCE,Emergency vehicle,yes
347,Health & Medical,Appointment,नियुक्ति,நியமனம்,നിയമനം,APPOINTMENT,Scheduled visit,yes
348,Health & Medical,Pain,दर्द,வலி,വേദന,PAIN,Physical hurt,yes
349,School & Work,School,विद्यालय,பள்ளி,സ്കൂൾ,SCHOOL,Education place,yes
350,School & Work,Classroom,कक्षा,வகுப்பறை,ക്ലാസ് മുറി,CLASSROOM,Learning room,yes
351,School & Work,Homework,गृहकार्य,வீட்டுப்பாடம்,ഹോം വർക്ക്,HOMEWORK,Home assignment,yes
352,School & Work,Exam,परीक्षा,தேர்வு,പരീക്ഷ,EXAM,Test,yes
353,School & Work,Office,कार्यालय,அலுவலகம்,ഓഫീസ്,OFFICE,Workplace,yes
354,School & Work,Meeting,बैठक,சந்திப்பு,യോഗം,MEETING,Work gathering,yes
355,School & Work,Project,परियोजना,திட்டம்,പദ്ധതി,PROJECT,Work task,yes
356,School & Work,Work,काम,வேலை,ജോലി,WORK,Labor / job,yes
357,School & Work,Job,काम,வேலை,ജോലി,JOB,Employment,yes
358,Shopping & Money,Shop,दुकान,கடை,കട,SHOP,Retail store,yes
359,Shopping & Money,Store,इकट्ठा करना,கடை,സ്റ്റോർ,STORE,Retail place,yes
360,Shopping & Money,Market,बाज़ार,சந்தை,വിപണി,MARKET,Marketplace,yes
361,Shopping & Money,Mall,मॉल,வணிக வளாகம்,മാൾ,MALL,Shopping center,yes
362,Shopping & Money,Money,धन,பணம்,പണം,MONEY,Currency,yes
363,Shopping & Money,Cash,नकद,பணம்,പണം,CASH,Paper money,yes
364,Shopping & Money,Coin,सिक्का,நாணயம்,നാണയം,COIN,Metal money,yes
365,Shopping & Money,Price,कीमत,விலை,വില,PRICE,Cost tag,yes
366,Shopping & Money,Cost,लागत,செலவு,ചെലവ്,COST,Amount charged,yes
367,Shopping & Money,Cheap,सस्ता,மலிவான,വിലകുറഞ്ഞ,CHEAP,Low price,yes
368,Shopping & Money,Expensive,महँगा,விலையுயர்ந்த,ചെലവേറിയ,EXPENSIVE,High price,yes
369,Shopping & Money,Discount,छूट,தள்ளுபடி,കിഴിവ്,DISCOUNT,Price reduction,yes
370,Shopping & Money,Sale,बिक्री,விற்பனை,വിൽപ്പന,SALE,Reduced prices,yes
371,Shopping & Money,Customer,ग्राहक,வாடிக்கையாளர்,ഉപഭോക്താവ്,CUSTOMER,Buyer,yes
372,Shopping & Money,Receipt,रसीद,ரசீது,രസീത്,RECEIPT,Purchase proof,yes
373,Shopping & Money,Wallet,बटुआ,பணப்பை,വാലറ്റ്,WALLET,Money holder,yes
374,Shopping & Money,Credit Card,क्रेडिट कार्ड,கிரெடிட் கார்டு,ക്രെഡിറ്റ് കാർഡ്,CREDIT-CARD,Card payment,yes
375,Shopping & Money,Debit Card,डेबिट कार्ड,டெபிட் கார்டு,ഡെബിറ്റ് കാർഡ്,DEBIT-CARD,Bank card,yes
376,Shopping & Money,Change,परिवर्तन,மாற்றம்,മാറ്റം,CHANGE,Returned money,yes
377,Shopping & Money,Payment,भुगतान,கட்டணம்,പേയ്മെൻ്റ്,PAYMENT,Money transfer,yes
378,Shopping & Money,Product,उत्पाद,தயாரிப்பு,ഉൽപ്പന്നം,PRODUCT,Item sold,yes
379,Shopping & Money,Item,वस्तु,பொருள்,ഇനം,ITEM,Object,yes
380,Shopping & Money,Brand,ब्रांड,பிராண்ட்,ബ്രാൻഡ്,BRAND,Maker label,yes
381,Shopping & Money,Size,आकार,அளவு,വലിപ്പം,SIZE,Dimensions,yes
382,Shopping & Money,Try On,पहनकर देखना,போட்டுப் பார்,അണിഞ്ഞ് നോക്കുക,TRY-ON,Test clothing,yes
383,Shopping & Money,Return,वापस करना,திரும்ப,മടങ്ങുക,RETURN,Give back purchase,yes
384,Shopping & Money,Exchange,अदला-बदली,பரிமாற்றம்,കൈമാറ്റം,EXCHANGE,Swap purchase,yes
385,Shopping & Money,Grocery,किराना,மளிகை,പലചരക്ക്,GROCERY,Food shopping,yes
386,Shopping & Money,Basket,टोकरी,கூடை,കൊട്ട,BASKET,Carrying container,yes
387,Shopping & Money,Cart,कार्ट,வண்டி,വണ്ടി,CART,Shopping trolley,yes
388,Shopping & Money,Checkout,चेक आउट,செக்அவுட்,ചെക്ക് ഔട്ട്,CHECKOUT,Pay counter,no
389,Shopping & Money,Tax,कर,வரி,നികുതി,TAX,Government fee,yes
390,Directions & Locations,Left,बाएं,விட்டு,വിട്ടുപോയി,LEFT,Direction,yes
391,Directions & Locations,Right,सही,சரி,ശരിയാണ്,RIGHT,Direction,yes
392,Directions & Locations,Straight,सीधा,நேராக,ഋജുവായത്,STRAIGHT,Forward,yes
393,Directions & Locations,Turn,मोड़,திரும்ப,തിരിയുക,TURN,Change direction,yes
394,Directions & Locations,Here,यहाँ,இங்கே,ഇവിടെ,HERE,This place,yes
395,Directions & Locations,There,वहाँ,அங்கு,അവിടെ,THERE,That place,yes
396,Directions & Locations,Near,पास में,அருகில்,സമീപം,NEAR,Close,yes
397,Directions & Locations,Far,दूर,தொலைவில்,ദൂരെ,FAR,Distant,yes
398,Directions & Locations,Across,आर-पार,முழுவதும்,കുറുകെ,ACROSS,Opposite side,yes
399,Directions & Locations,Behind,पीछे,பின்னால்,പിന്നിൽ,BEHIND,Back of,yes
400,Directions & Locations,Front,सामने,முன்,മുന്നിൽ,FRONT,Forward side,yes
401,Directions & Locations,Corner,कोना,மூலையில்,മൂല,CORNER,Intersection angle,yes
402,Directions & Locations,Intersection,चौराहा,குறுக்குவெட்டு,കവല,INTERSECTION,Road cross,yes
403,Directions & Locations,Street,गली,தெரு,തെരുവ്,STREET,Urban road,yes
404,Directions & Locations,Highway,राजमार्ग,நெடுஞ்சாலை,ഹൈവേ,HIGHWAY,Major road,yes
405,Directions & Locations,Bridge,पुल,பாலம்,പാലം,BRIDGE,Road over water,yes
406,Directions & Locations,Address,पता,முகவரி,വിലാസം,ADDRESS,Location text,yes
407,Directions & Locations,Location,जगह,இடம்,സ്ഥാനം,LOCATION,Place,yes
408,Directions & Locations,North,उत्तर,வடக்கு,വടക്ക്,NORTH,Compass direction,yes
409,Directions & Locations,South,दक्षिण,தெற்கு,തെക്ക്,SOUTH,Compass direction,yes
410,Directions & Locations,East,पूर्व,கிழக்கு,കിഴക്ക്,EAST,Compass direction,yes
411,Directions & Locations,West,पश्चिम,மேற்கு,പടിഞ്ഞാറ്,WEST,Compass direction,yes
412,Directions & Locations,Upstairs,ऊपर,மாடிக்கு,മുകളിലത്തെ നിലയിൽ,UPSTAIRS,Upper floor,no
413,Directions & Locations,Downstairs,सीढ़ी के नीचे,கீழே,താഴെ,DOWNSTAIRS,Lower floor,no
414,Directions & Locations,Entrance,प्रवेश द्वार,நுழைவாயில்,പ്രവേശനം,ENTRANCE,Way in,no
415,Directions & Locations,Exit,बाहर निकलना,வெளியேறு,പുറത്ത്,EXIT,Way out,yes
416,Directions & Locations,Parking,पार्किंग,பார்க்கிங்,പാർക്കിംഗ്,PARKING,Vehicle area,yes
417,Directions & Locations,Building,इमारत,கட்டிடம்,കെട്ടിടം,BUILDING,Structure,yes
418,Directions & Locations,Floor,ज़मीन,தரை,തറ,FLOOR,Level,yes
419,Directions & Locations,Elevator,लिफ़्ट,உயர்த்தி,എലിവേറ്റർ,ELEVATOR,Lift,yes
420,Directions & Locations,Stairs,सीढ़ियाँ,படிக்கட்டுகள்,പടികൾ,STAIRS,Steps,yes
421,Directions & Locations,Traffic Light,ट्रैफिक लाइट,போக்குவரத்து விளக்கு,ട്രാഫിക് ലൈറ്റ്,TRAFFIC-LIGHT,Signal,yes
422,Directions & Locations,Crosswalk,क्रॉसवॉक,குறுக்குவழி,ക്രോസ്വാക്ക്,CROSSWALK,Pedestrian crossing,no
423,Technology & Communication,Phone,फ़ोन,தொலைபேசி,ഫോൺ,PHONE,Mobile device,yes
424,Technology & Communication,Smartphone,स्मार्टफोन,ஸ்மார்ட்போன்,സ്മാർട്ട്ഫോൺ,SMARTPHONE,Mobile phone,no
425,Technology & Communication,Computer,कंप्यूटर,கணினி,കമ്പ്യൂട്ടർ,COMPUTER,PC,yes
426,Technology & Communication,Laptop,लैपटॉप,மடிக்கணினி,ലാപ്ടോപ്പ്,LAPTOP,Portable computer,yes
427,Technology & Communication,Tablet,गोली,மாத்திரை,ടാബ്ലറ്റ്,TABLET,Touch device,yes
428,Technology & Communication,Internet,इंटरनेट,இணையம்,ഇൻ്റർനെറ്റ്,INTERNET,Online network,yes
429,Technology & Communication,Wi-Fi,वाईफ़ाई,wi-fi,വൈഫൈ,WI-FI,Wireless internet,no
430,Technology & Communication,Website,वेबसाइट,இணையதளம்,വെബ്സൈറ്റ്,WEBSITE,Web page,yes
431,Technology & Communication,Browser,ब्राउज़र,உலாவி,ബ്രൗസർ,BROWSER,Web viewer,yes
432,Technology & Communication,Email,ईमेल,மின்னஞ்சல்,ഇമെയിൽ,EMAIL,Electronic mail,yes
433,Technology & Communication,Message,संदेश,செய்தி,സന്ദേശം,MESSAGE,Text communication,yes
434,Technology & Communication,Chat,बात करना,அரட்டை,ചാറ്റ്,CHAT,Conversation online,yes
435,Technology & Communication,Video Call,वीडियो कॉल,வீடியோ அழைப்பு,വീഡിയോ കോൾ,VIDEO-CALL,Live video chat,yes
436,Technology & Communication,Camera,कैमरा,கேமரா,ക്യാമറ,CAMERA,Image capture,yes
437,Technology & Communication,Password,पासवर्ड,கடவுச்சொல்,പാസ്വേഡ്,PASSWORD,Login secret,yes
438,Technology & Communication,Login,लॉग इन करें,புகுபதிகை,ലോഗിൻ,LOGIN,Sign in,yes
439,Technology & Communication,Logout,लॉग आउट,வெளியேறுதல்,പുറത്തുകടക്കുക,LOGOUT,Sign out,no
440,Technology & Communication,Download,डाउनलोड करना,பதிவிறக்கம்,ഡൗൺലോഡ് ചെയ്യുക,DOWNLOAD,Get file,yes
441,Technology & Communication,Upload,अपलोड करें,பதிவேற்றம்,അപ്ലോഡ്,UPLOAD,Send file,no
442,Technology & Communication,App,अनुप्रयोग,பயன்பாடு,അപ്ലിക്കേഷൻ,APP,Application,yes
443,Technology & Communication,Software,सॉफ़्टवेयर,மென்பொருள்,സോഫ്റ്റ്വെയർ,SOFTWARE,Programs,yes
444,Technology & Communication,Hardware,हार्डवेयर,வன்பொருள்,ഹാർഡ്വെയർ,HARDWARE,Physical tech,yes
445,Technology & Communication,AI,ऐ,ai,ഐ,AI,Artificial intelligence,yes
446,Technology & Communication,Robot,रोबोट,ரோபோ,റോബോട്ട്,ROBOT,Automaton,yes
447,Technology & Communication,Cloud,बादल,மேகம்,മേഘം,CLOUD,Online storage,yes
448,Technology & Communication,Server,सर्वर,சர்வர்,സെർവർ,SERVER,Network host,yes
449,Technology & Communication,Database,डेटाबेस,தரவுத்தளம்,ഡാറ്റാബേസ്,DATABASE,Data store,yes
450,Technology & Communication,Code,कोड,குறியீடு,കോഡ്,CODE,Programming text,yes
451,Technology & Communication,Program,कार्यक्रम,திட்டம்,പ്രോഗ്രാം,PROGRAM,Software,yes
452,Technology & Communication,Network,नेटवर्क,நெட்வொர்க்,നെറ്റ്വർക്ക്,NETWORK,Connected system,yes
453,Technology & Communication,Keyboard,कीबोर्ड,விசைப்பலகை,കീബോർഡ്,KEYBOARD,Typing input,yes
454,Technology & Communication,Mouse,चूहा,சுட்டி,മൗസ്,MOUSE,Pointer device,yes
455,Technology & Communication,Monitor,निगरानी करना,கண்காணிக்க,നിരീക്ഷിക്കുക,MONITOR,Display screen,yes
456,Technology & Communication,Screen,स्क्रीन,திரை,സ്ക്രീൻ,SCREEN,Display,yes
457,Technology & Communication,Printer,मुद्रक,அச்சுப்பொறி,പ്രിൻ്റർ,PRINTER,Print device,yes
458,Technology & Communication,Scanner,स्कैनर,ஸ்கேனர்,സ്കാനർ,SCANNER,Scan device,no
459,Technology & Communication,Microphone,माइक्रोफ़ोन,ஒலிவாங்கி,മൈക്രോഫോൺ,MICROPHONE,Audio input,yes
460,Technology & Communication,Speaker,वक्ता,பேச்சாளர்,സ്പീക്കർ,SPEAKER,Audio output,yes
461,Technology & Communication,Headphones,हेडफोन,ஹெட்ஃபோன்கள்,ഹെഡ്ഫോണുകൾ,HEADPHONES,Ear audio,yes
462,Technology & Communication,Charger,अभियोक्ता,சார்ஜர்,ചാർജർ,CHARGER,Power adapter,yes
463,Technology & Communication,Battery,बैटरी,பேட்டரி,ബാറ്ററി,BATTERY,Power cell,yes
464,Technology & Communication,Cable,केबल,கேபிள்,കേബിൾ,CABLE,Wire connector,yes
465,Technology & Communication,USB,USB,usb,USB,USB,USB port,yes
466,Technology & Communication,Folder,फ़ोल्डर,கோப்புறை,ഫോൾഡർ,FOLDER,File container,yes
467,Technology & Communication,File,फ़ाइल,கோப்பு,ഫയൽ,FILE,Document,yes
468,Technology & Communication,Document,दस्तावेज़,ஆவணம்,പ്രമാണം,DOCUMENT,Text file,yes
469,Technology & Communication,Spreadsheet,स्प्रेडशीट,விரிதாள்,സ്പ്രെഡ്ഷീറ്റ്,SPREADSHEET,Table file,no
470,Technology & Communication,Presentation,प्रस्तुति,விளக்கக்காட்சி,അവതരണം,PRESENTATION,Slides file,yes
471,Technology & Communication,Social Media,सोशल मीडिया,சமூக ஊடகம்,സോഷ്യൽ മീഡിയ,SOCIAL-MEDIA,Online platforms,yes
472,Technology & Communication,Profile,प्रोफ़ाइल,சுயவிவரம்,പ്രൊഫൈൽ,PROFILE,User page,yes
473,Technology & Communication,Account,खाता,கணக்கு,അക്കൗണ്ട്,ACCOUNT,User record,yes
474,Technology & Communication,Username,उपयोक्तानाम,பயனர் பெயர்,ഉപയോക്തൃനാമം,USERNAME,Login name,no
475,Technology & Communication,Notification,अधिसूचना,அறிவிப்பு,അറിയിപ്പ്,NOTIFICATION,Alert,yes
476,Technology & Communication,Update,अद्यतन,மேம்படுத்தல்,അപ്ഡേറ്റ്,UPDATE,New version,yes
477,Technology & Communication,Security,सुरक्षा,பாதுகாப்பு,സുരക്ഷ,SECURITY,Protection,yes
478,Technology & Communication,Backup,बैकअप,காப்பு,ബാക്കപ്പ്,BACKUP,Copy data,yes
479,Weather,Weather,मौसम,வானிலை,കാലാവസ്ഥ,WEATHER,Climate conditions,yes
480,Weather,Sunny,धूप वाला,வெயில்,വെയിൽ,SUNNY,Clear sky,yes
481,Weather,Cloudy,बादलों से घिरा,மேகமூட்டம்,മേഘാവൃതമായ,CLOUDY,Overcast,yes
482,Weather,Rain,बारिश,மழை,മഴ,RAIN,Precipitation,yes
483,Weather,Drizzle,बूंदा बांदी,தூறல்,ചാറ്റൽ മഴ,DRIZZLE,Light rain,yes
484,Weather,Storm,आंधी,புயல்,കൊടുങ്കാറ്റ്,STORM,Severe weather,yes
485,Weather,Thunder,गड़गड़ाहट,இடி,ഇടിമുഴക്കം,THUNDER,Loud sky sound,yes
486,Weather,Lightning,बिजली चमकना,மின்னல்,മിന്നൽ,LIGHTNING,Sky electricity,yes
487,Weather,Wind,हवा,காற்று,കാറ്റ്,WIND,Moving air,yes
488,Weather,Windy,तूफ़ानी,காற்று வீசும்,കാറ്റുള്ള,WINDY,Strong wind,no
489,Weather,Hot,गर्म,சூடான,ചൂട്,HOT,High temperature,yes
490,Weather,Warm,गरम,சூடான,ചൂട്,WARM,Mild heat,yes
491,Weather,Cool,ठंडा,குளிர்,തണുത്ത,COOL,Mild cold,yes
492,Weather,Cold,ठंडा,குளிர்,തണുപ്പ്,COLD,Low temperature,yes
493,Weather,Snow,बर्फ,பனி,മഞ്ഞ്,SNOW,Frozen precipitation,yes
494,Weather,Fog,कोहरा,மூடுபனி,മൂടൽമഞ്ഞ്,FOG,Low visibility,yes
495,Weather,Humid,नमी,ஈரமான,ഈർപ്പമുള്ള,HUMID,Moist air,yes
496,Weather,Dry,सूखा,உலர்,വരണ്ട,DRY,Low moisture,yes
497,Weather,Summer,गर्मी,கோடை,വേനൽക്കാലം,SUMMER,Hot season,yes
498,Weather,Winter,सर्दी,குளிர்காலம்,ശീതകാലം,WINTER,Cold season,yes
499,Weather,Spring,वसंत,வசந்தம்,വസന്തം,SPRING,Growth season,yes
500,Weather,Autumn,शरद ऋतु,இலையுதிர் காலம்,ശരത്കാലം,AUTUMN,Fall season,yes
501,Hobbies & Entertainment,Hobby,शौक,பொழுதுபோக்கு,ഹോബി,HOBBY,Pastime,yes
502,Hobbies & Entertainment,Sport,खेल,விளையாட்டு,കായികം,SPORT,Athletics,yes
503,Hobbies & Entertainment,Football,फ़ुटबॉल,கால்பந்து,ഫുട്ബോൾ,FOOTBALL,Soccer,yes
504,Hobbies & Entertainment,Cricket,क्रिकेट,கிரிக்கெட்,ക്രിക്കറ്റ്,CRICKET,Bat-and-ball sport,yes
505,Hobbies & Entertainment,Basketball,बास्केटबाल,கூடைப்பந்து,ബാസ്ക്കറ്റ്ബോൾ,BASKETBALL,Court sport,yes
506,Hobbies & Entertainment,Tennis,टेनिस,டென்னிஸ்,ടെന്നീസ്,TENNIS,Racket sport,yes
507,Hobbies & Entertainment,Volleyball,वालीबाल,கைப்பந்து,വോളിബോൾ,VOLLEYBALL,Net sport,yes
508,Hobbies & Entertainment,Swimming,तैरना,நீச்சல்,നീന്തൽ,SWIMMING,Water sport,yes
509,Hobbies & Entertainment,Running,दौड़ना,ஓடுகிறது,ഓടുന്നു,RUNNING,Fast jogging,yes
510,Hobbies & Entertainment,Walking,चलना,நடைபயிற்சி,നടക്കുന്നു,WALKING,Strolling,yes
511,Hobbies & Entertainment,Gym,जिम,உடற்பயிற்சி கூடம்,ജിം,GYM,Fitness center,yes
512,Hobbies & Entertainment,Exercise,व्यायाम,உடற்பயிற்சி,വ്യായാമം,EXERCISE,Physical activity,yes
513,Hobbies & Entertainment,Music,संगीत,இசை,സംഗീതം,MUSIC,Sound art,yes
514,Hobbies & Entertainment,Song,गाना,பாடல்,പാട്ട്,SONG,Musical piece,no
515,Hobbies & Entertainment,Singer,गायक,பாடகர்,ഗായകൻ,SINGER,Vocal performer,yes
516,Hobbies & Entertainment,Guitar,गिटार,கிட்டார்,ഗിറ്റാർ,GUITAR,String instrument,yes
517,Hobbies & Entertainment,Piano,पियानो,பியானோ,പിയാനോ,PIANO,Keyboard instrument,yes
518,Hobbies & Entertainment,Dance,नृत्य,நடனம்,നൃത്തം,DANCE,Movement art,yes
519,Hobbies & Entertainment,Movie,चलचित्र,திரைப்படம்,സിനിമ,MOVIE,Film,yes
520,Hobbies & Entertainment,Film,पतली परत,படம்,സിനിമ,FILM,Cinema,yes
521,Hobbies & Entertainment,TV,टीवी,தொலைக்காட்சி,ടിവി,TV,Television,no
522,Hobbies & Entertainment,Series,शृंखला,தொடர்,പരമ്പര,SERIES,Show episodes,yes
523,Hobbies & Entertainment,Book,किताब,புத்தகம்,പുസ്തകം,BOOK,Reading material,yes
524,Hobbies & Entertainment,Magazine,पत्रिका,இதழ்,മാസിക,MAGAZINE,Periodical,no
525,Hobbies & Entertainment,Reading,पढ़ना,வாசிப்பு,വായന,READING,Read activity,yes
526,Hobbies & Entertainment,Writing,लिखना,எழுதுவது,എഴുത്ത്,WRITING,Write activity,yes
527,Hobbies & Entertainment,Drawing,चित्रकला,வரைதல்,ഡ്രോയിംഗ്,DRAWING,Sketch art,yes
528,Hobbies & Entertainment,Painting,चित्रकारी,ஓவியம்,പെയിൻ്റിംഗ്,PAINTING,Color art,yes
529,Hobbies & Entertainment,Photography,फोटोग्राफी,புகைப்படம் எடுத்தல்,ഫോട്ടോഗ്രാഫി,PHOTOGRAPHY,Photo art,yes
530,Hobbies & Entertainment,Camping,डेरा डालना,முகாம்,ക്യാമ്പിംഗ്,CAMPING,Outdoor stay,no
531,Hobbies & Entertainment,Fishing,मछली पकड़ने,மீன்பிடித்தல்,മത്സ്യബന്ധനം,FISHING,Catch fish,yes
532,Hobbies & Entertainment,Gardening,बागवानी,தோட்டக்கலை,പൂന്തോട്ടപരിപാലനം,GARDENING,Plant care,yes
